sl No,item_code,item_description
510,23.4.4.a,"a.V 1.50 x 0.75m
(middle fixed and end louvered- 3 Bays)"
511,23.4.4.b,"b. V1 1.20 x 0.75m 
(middle fixed and end louvered- 3 Bays)"
512,23.4.4.c,"c.V2 1.05 x 0.75m 
(middle fixed and end louvered- 3 Bays)"
513,23.4.4.d,"d. V3 0.90 x 0.75
(Two leaves louvered - 2Bays)"
514,23.4.4.e,"e.V4 0.75 x 0.75m 
(Two leaves louvered - 2Bays)"
515,23.4.5,"Supplying and fixing of Aluminium door (with partly OSL partly glass) of following sizes single leaf using outer frame of size 101.60*44.45*2.10mm and 101.60*44.45*2.05mm and aluminium door of approved make, quality and colour. Anodised not less than 20 micron with approved standard colour anodizing confirming to standard specification. Aluminium extrutions are to be used as detailed below. 4616 single grove horizontal (outer frame) top 4617 double grove horizontal (outer frame) bottom 4506 horizontal (middle) and including supplying and fixing of approved make super silver blue colour of 6mm thick colour glass for partly fixed at top, USL fixed at bottom fixed with glazing clip with necessary gasket lock, handles 2nos. tower bolt 150mmx15mm 2 Nos for each door with suitable screws and rubber beedings automatic door closure 2 nos,and door stopper 1 no. including cost and conveyance of all materials to site. The aluminium frame should be embedded in wall including labour and power consumption charges required for fabricating including making holes in R.C.C. columns, beams, masonry with power drill to the required extent and redoing the same to the original condition after fixing etc. complete the alluminium frames are to be anodized with matt finish under electrically controlled conditions in accordance with the specification 1863/1963 for anodic film thickness of not less than 20 microns and as directed by the departmental officers. (all the materials should be got approved by the Executive Engineer concerned before use ).                                                                                                                                                                "
516,23.4.5.a,a. D door of size 1.50x2.40m (double leaf)
517,23.4.6,"Supplying and fixing of single leaf door shutters by using Best Indian T.W. Marine door shutters with  9mm thick phenol bonded BWR grade plywood as per IS 303-1989 (General) with IS 5539-1969 (for preservative treatment) and IS 848-1974 (for adhesives) with relevant IS specifications and its latest amendment for shutters with 75mm x 37.50 mm teak wood styles and 3 Nos. of 150 mm x 37.50 mm TW rails (top, bottom and lock rails) using the above panel including labour for fixing in position, cost of materials, Aluminium Furniture fittings such as 3 nos. of 5” of Aluminium butt hinges, 2 nos. of 6”x1/2” Aluminium Tower  bolt, 1 No of 10""x5/8"" Aldrop, 1 No of Handle with Brass screws, Nylon Bush, 1 No of Door stoper of best approved quality shade, all complete & as directed by the departmental officers. (The quality of BWR plywood should be got approved from the Executive Engineer before use.)"
518,23.4.6.a,a. 1.20x2.40m (Single leaf)
519,23.4.6.b,b. 1.00x2.40m (Single leaf)
520,23.4.6.c,c. 0.90x2.40m (Single leaf)
521,23.4.6.1,"Supplying and fixing of single leaf door shutters by using Best Indian T.W. Marine door shutters with  9mm thick phenol bonded BWR grade plywood as per IS 303-1989 (General) with IS 5539-1969 (for preservative treatment) and IS 848-1974 (for adhesives) with relevant IS specifications and its latest amendment for shutters with 75mm x 37.50 mm teak wood styles and 3 Nos. of 150 mm x 37.50 mm TW rails (top, bottom and lock rails) using the above panel including labour for fixing in position , cost of materials, Aluminium Furniture fittings such as 4 nos. of 5” of butt hinges, 2 nos. of 10”x1/2” Tower  bolt, 1 No of 12""x5/8"" Aldrop, 2 Nos of 6"" Handle, 1 no of rubber bush 40mmdia & 60mm long, 1 No of door stoper with Brass screws of best approved quality shade, all complete & as directed by the departmental officers. (The quality of BWR plywood should be got approved from the Executive Engineer before use.)"
522,23.4.6.1.c,c. 0.90x2.40m (Single leaf)
523,23.4.7.1,"Supplying and fixing of Double leaf door shutters by using Best Indian T.W. Marine door shutters with  9mm thick phenol bonded BWR grade plywood as per IS 303-1989 (General) with IS 5539-1969 (for preservative treatment) and IS 848-1974 (for adhesives) with relevant IS specifications and its latest amendment for shutters with 4 Nos of 75mm x 37.50 mm teak wood styles and 6 Nos. of 150 mm x 37.50 mm TW rails (top, bottom and lock rails) using the above panel including labour for fixing in position , cost of materials, Aluminium Furniture fittings such as 8 nos. of 5” of butt hinges, 4 nos. of 10”x1/2” Tower  bolt, 1 No of 12""x5/8"" Aldrop, 4 Nos of 6"" Handle, 1 No of Rubber bush 40mm dia & 60mm long and 2 nos door stopper with brass screws of best approved quality shade, all complete & as directed by the departmental officers. (The quality of BWR plywood should be got approved from the Executive Engineer before use.)"
524,23.4.7.1.a,a.1200 x 2400   double leaves
525,23.4.7.1.b,b.1500 x 2400   double leaves
526,23.4.7.2,"Supplying and fixing of Double leaf door shutters by using Best Indian T.W. Marine door shutters with  9mm thick phenol bonded BWR grade plywood as per IS 303-1989 (General) with IS 5539-1969 (for preservative treatment) and IS 848-1974 (for adhesives) with relevant IS specifications and its latest amendment for shutters with 4 Nos of 75mm x 37.50 mm teak wood styles and 6 Nos. of 150 mm x 37.50 mm TW rails (top, bottom and lock rails) using the above panel including labour for fixing in position, cost of materials, Aluminium Furniture fittings such as 6 nos. of 5” of butt hinges, 4 nos. of 6”x1/2” Tower  bolt, 1 No of 10""x5/8"" Aldrop, 2 Nos of 6"" door Handle with CP screws 6"", 2 Nos of nylon bush, 2 nos of door stopper and brass screws etc.,  of best approved quality shade, all complete & as directed by the departmental officers. (The quality of BWR plywood should be got approved from the Executive Engineer before use.)"
527,23.4.7.2.a,a.1200 x 2100mm   (double leaves)
528,23.4.8,"Supplying, fabricating  and fixing in position of Aluminium Sliding window anodised 15 microns confirming to standard specifications made with extruded aluminium frame of size Die 4605 for frame horizontal & vertical frame @ 1.558Kg/m, Die 8792 for shutter top & bottom @ 0.355Kg/m Die 8790 for shutter vertical middle @ 0.605Kg/m & die 8791 for shutter end vertical @ 0.488Kg/m and aluminium clips, aluminium holdfast with necessary push button handles, M.S power coated stiffners and rubber beedings including supplying and fixing of 5.5mm thick plain glass panels of apporoved make (ISI) and including cost of all materials, labours, power consumption required for fabrication, drilling holes for fixing the aluminium holdfast etc complete and make the gap in original shape after fixing and as directed by the departmental officers. (All the materials to be used should be got approved by the Executive Engineer before use)"
529,23.4.8.a,a. 2.10 x 1.35m (Two track)
530,23.4.9,"Supplying, fabricating  and fixing in position of Aluminium Sliding Ventilator anodised 15 microns confirming to standard specifications made with extruded aluminium frame of size Die 4605 for frame horizontal & vertical frame @ 1.558Kg/m, Die 8792 for shutter top & bottom @ 0.355Kg/m Die 8790 for shutter vertical middle @ 0.605Kg/m & die 8791 for shutter end vertical @ 0.488Kg/m and aluminium clips, aluminium holdfast with necessary push button handles, M.S power coated stiffners and rubber beedings including supplying and fixing of 5.5mm thick plain glass panels of apporoved make (ISI) and including cost of all materials, labours, power consumption required for fabrication, drilling holes for fixing the aluminium holdfast etc complete and make the gap in original shape after fixing and as directed by the departmental officers. (All the materials to be used should be got approved by the Executive Engineer before use)"
531,23.4.9.a,a.1.00 x 0.75m  
532,23.4.9.b,b.1.00 x 0.60m  
533,23.5,"Supplying and fixing of Steel doors with MS flat of size 50mmx10mm alround and the panel shall be provided with 9 Nos, of MS square bars of size 20mmx20mm equally spaced and welded with the alround MS angle with 3 Nos. of Horizontal stiffener using MS flat of size 50mmx6mm which shall also be welded with the alround MS flat the iron bars shall be backed with the weld mesh of size 75mmx25mm of 10G. and flying mesh of size 10mmx10mm of 10G and the same is to be vertical with the alround MS flat and 2 Nos. of vertical stiffener and 4 Nos. of horizontal stiffener using MS flat of size 25mmx6mm including the cost of hinges, welding charges and locking arrangement as per the norms provided etc., all complete and as directed by the departmental officers.
a. 1000 x 2100 mm"
534,23.5.1,"Supplying and fixing hydraulic  door closure (Medium) of universal type conforming to I.S specifications including labour charges for fixing etc., complete complying with relevant standard specifications. (The brand and quality of hydraulic door closure should be got approved from EE before use )"
535,23.5.1.1,"Supply and delivery fabrication of MS doors and windows with outer frame and shutter frame in MS angle of size 40mmx40mmx6mm with MS flat 25mmx25mmx6mm and MS sheet of 18 gauge including ventilating arrangements using 20mm square MS rods with locking arrangements including two coats of approved enamel paint over coat of red oxide including cost of angles, plates, sheets, fabrication charges, cost of hold fast and transportation charges etc., complete and as directed by the departmental officers.
e) Fully Panelled Single leaf - 1000x2000 mm"
536,23.5.2,"Supplying and fixing hydraulic  door closure (Heavy) of universal type conforming to I.S specifications including labour charges for fixing etc., complete complying with relevant standard specifications. (The brand and quality of hydraulic door closure should be got approved from EE before use )"
537,23.5.3,"Supplying and fixing of Hydraulic Door closure of approved ISI make universal type with double speed adjustment of aluminum extrusion cylindrical body including cost and  labour charges hire charges for tools and plants etc ., all complete and as directed by the departmental officers [The universal type door closure should be got approved from the EE before use]"
538,23.5.4,Supplying and fixing of door safety catcher chain of approved make and quality including cost and labour charges for fixing etc all complete and as directed by the departmental officers.  (The catcher chain should be got approved from the Executive Engineer before fixing)
539,23.5.4.1,"Supplying and fixing of Mortice lock with required screws with 3 keys of approved make (ISI) and quality including cost of materials and labour charges for fixing etc., all complete and as directed by the departmental officers.  (The materials should be got approved from the EE before fixing)"
540,23.5.4.2,"Supplying and fixing of Mortice lock with required screws with 3 keys of approved make (ISI) and quality including cost of materials and labour charges for fixing etc., all complete and as directed by the departmental officers.  (The materials should be got approved from the EE before fixing)"
541,23.5.5,Supplying and fixing of Door Eye piece of approved make and quality (ISI) including cost and labour charges for fixing etc allc omplete and as directed by the departmental officers.  (The Door eye piece should be got approved from the EE before fixing)
542,23.5.6,"Supplying and fixing of Door stopper of approved make (ISI) and quality including cost, and labour charges for fixing etc., all complete and as directed by the departmental officers.  (The cylindrical lock should be got approved from the EE before fixing)"
543,23.5.7,"Supplying and fixing of D type handle 200mm long of approved make (ISI) and quality including cost, and labour charges for fixing etc., all complete and as directed by the departmental officers.  (The handle should be got approved from the EE before fixing)"
544,23.5.8,"Supplying, fabricating and fixing in position of Aluminium French window, anodized not less than 15 microns confirming to Standard specification made with extruded  Aluminium “H” section size 38.5x33x3mm for outer frame. Z section of size 38.5x33x3mm for shutter and intermediate sections of size 59x33x3mm and aluminium clip of size 17.3x17x0.90 mm with MS powder coated stiffner of size 12mm x 3mm for fixing Glass panels with necessary accessories such as Aluminium handles of size 101.6x25.4x3.18mm, Aluminium butterfly hinges of 3”, Aluminium window stay & Pegs of 10”, aluminium hold fast 6” (4mm thick) with suitable Aluminium/ Stainless steel screws and rubber beedings including supplying and fixing of 4mm thick Glass panels and including cost of all materials, labours, power consumption required for fabrication, drilling holes for fixing the aluminium hold fast etc., complete and make to  the wall in original shape after fixing and as directed by the departmental officers (all the materials to be used should be got approved by the Executive Engineer before use)"
545,23.5.8.b,b. F.W.1800x1650 (Eight Leaves)
546,23.5.9,"Supplying, fabricating and fixing in position of Aluminium openable window, anodized not less than 15 microns confirming to Standard specification made with extruded  Aluminium “H” section size 38.5x33x3mm for outer frame. Z section of size 38.5x33x3mm for shutter and intermediate sections of size 59x33x3mm and aluminium clip of size 17.3x17x0.90 mm with MS powder coated stiffner of size 12mm x 3mm for fixing Glass panels with necessary accessories such as Aluminium handles of size 101.6x25.4x3.18mm, Aluminium butterfly hinges of 3”, Aluminium window stay & Pegs of 10”,aluminium stiffner and aluminium hold fast 6”(4mm thick) with suitable Aluminium/ Stainless steel screws and rubber beedings including supplying and fixing of 4mm thick Glass panels and including cost of all materials, labours, power consumption required for fabrication, drilling holes for fixing the aluminium hold fast etc., complete and make to  the wall in original shape after fixing and as directed by the departmental officers enclosed (all the materials to be used should be got approved by the Executive Engineer before use)"
547,23.5.9.a,a.W 1800 x 1350mm(Eight Leaves)
548,23.5.9.b,b..W 1500 x 1350mm(Six Leaves)
549,23.5.9.c,c.W1-1350 x 1350mm(Six Leaves)
550,23.5.9.d,d.W1-1200 x 1350mm(Four Leaves)
551,23.5.9.e,e.W2-0750x1350mm(Two Leaves)
552,23.5.9.f,f.KW 1350 x 1050mm(Six Leaves)
553,23.5.9.g,g.KW 1200 x 1050mm(Four Leaves)
554,23.6,"Supplying, fabricating fixing in position of Aluminium anodized natural colour matt finish sliding windows in all floors with sliding arrangement and gutter arrangement so as to drain the water entering and made with aluminium extruded section of following sizesFor three track sliding window frame gutter section 92.34x39x1.5mm at 1.637kg/m side top and vertical 92.34x29.7x1.5mm at 1.066kg/m shutter top 18x40x1.50mm at 0.38kg/m bottom and vertical 40x18x1.5mm at 0.493 kg/m locking section 40x29x1.5mm at 0.632kg/m with necessary accessories such as rubber beeding,lock,handle and fixing 4mm thick plain glass including cost of materials and labour and power consumption reqired for fabrication drilling holes with power drill etc.,complete. The aluminium frame is to be anodized with matt finish for an average anodic film thickness of not less than 15 microns under electrically controlled condition in accordance with ISI 1868/1962. The materials to be got approved before use."
555,23.6.a,a. 900 x 1350mm  two track
556,23.6.b,b)Aluminium sliding ventilaor 0.9X0.60m two track
557,23.6.c,c.1200X1350 mm
558,23.6.e,e.1800x1350 mm
559,23.6.g,g.1350x1350 mm
560,23.6.h,h.1800x2000 mm
561,23.6.1,"Supplying, fabricating, fixing in position of Aluminium anodized natural colour matt finish sliding windows with sliding arrangement and gutter arrangement so as to drain the water entering and made with aluminium extruded section of following sizes for sliding window frame gutter section 92.34x39x1.5mm at 1.637kg/m side top and vertical 92.34x29.7x1.5mm at 1.066kg/m shutter top 18x40x1.50mm at 0.38kg/m bottom and vertical 40x18x1.5mm at 0.493 kg/m locking section 40x29x1.5mm at 0.632kg/m with necessary accessories such as rubber beeding,lock,handle and fixing 5.50mm thick plain glass including cost of materials and labour and power consumption reqired for fabrication drilling holes with power drill etc.,complete. The aluminium frame is to be anodized with matt finish for an average anodic film thickness of not less than 15 microns under electrically controlled condition in accordance with ISI 1868/1962.  (The brand and quality should be got approved from the Executive Engineer before use). "
562,23.6.1.a,a.1.80 x1.35 Alu. Window (Three track)
563,23.6.1.c,c.2.40 x1.35 Alu. Window (four track)
564,23.6.2,"Supplying, fabricating and fixing in position using colour anodized Aluminium sections of approved make ( Black colour 15 micron anodizing confirming to standard specification) in fixed louver ventilator (Adjustable louver type for outer frame tow handlers) Die No 4605 weight 1.558 kg/m with heavy channel using louvers 4mm thick pin headed glass @ 100mm c/c with louver handle and necessary fittings of approved make required for louver ventilators and the aluminium frame should be embedded in wall and there should not be any gap between the wall and aluminium frame and including cost and conveyance of all materials and including labour charges for good work manship etc., complete and as directed by the departmental officers etc., all complete ( The brand and quality should be got approved by the Executive Engineer before use.]"
565,23.6.2.a,a.0.90x0.60m
566,23.7,"Supplying and fixing inposition of aluminium anodized colour matt finish louvered ventilator. The outer frame will be 62x38x2mm at 1.17Kg/m and the louvers with moving arrangements will be made with aluminium channel of size 60x30x4mm at 1.27kg/m with necessary glass pans for louvers and 4mm thick aluminium clips, including all materials labour and power consumption charges required for fabrication if necessary chipping dismantling making holes in RCC columns beams or masonry wherever necessary with power drill to the extent required and make good to the original conditions after fixing etc., complete. The aluminium surface is to be anodized with matt finish under electrically controlled condition in accordance with ISI specifications 1868/4962 of anodic flim thickness off not less than 15 microns (fifteen) for all sections. All the materials should be got approved before use.
For Ventilator size 600x600mm"
567,23.7.3,"Supplying and fixing inposition of Aluminium anodized colour matt finish louvered ventilator, the outer frame will be 62x38x2mm at 1.17Kg/m and the louvers with moving arrangements will be made with aluminium channel of size 60x30x4mm at 1.27kg/m and clip 0.179kg/m and with necessary 4mm thick pin headed glass for louvers and clips, L.Angle, Screws, T.W plug etc., including all materials labour charges and power consumption charges required for fabrication if necessary chipping dismantling making holes in RCC columns beams or masonry wherever necessary with power drill to the extent required and make good to the original conditions after fixing. The aluminium surface is to be anodized with matt finish under electrically controlled condition in accordance with ISI specifications 1868/4962 of anodic flim thickness off not less than 15 microns (fifteen) for all sections etc., all complete and as directed by the departmental officers. (The quality, brand and colour should be got approved from the Executive Engineer before use). "
568,23.7.3.a,a) For Ventilator size 600x600mm
569,23.7.4,"Supplying and fixing of Aluminium fixed  Glazed window with aluminium section @ 1.558Kg/m2 with 4mm thick pin headed glass, Clip feed for glass, rubber beeding including labour charges with necessary handwork etc., all complete & as directed by the departmental officers (The fittings should be got approved by Executive Engineer before use.)
b.1.35x2.10m"
570,23.7.5,"Supplying and fixing of Aluminium Lover Ventilator with aluminium section @ 1.558Kg/m2 with 4mm pin headed glass, Clip feed for glass, rubber deeding including labour charges with necessary handwork etc., all complete & as directed by the departmental officers (The lock and key and shade and other fittings should be got approved from Executive Engineer before use.)

"
571,23.7.5.a,a)750x600 mm
572,23.7.5.c,c) 900x450 mm
573,23.9,"Supply and fabrication and fixing in position of Aluminium anodized natural colour matt finish door 1/3"""" paneled with 12mm thick both side laminated sheet and 2/3"""" plain glass 5.5mm thick to suit against the partition wall outer vertical and top door frame using rectangular box section no.9223 of 101.60x44.45x3.18mm thick at weight of 2.399Kg/m with shutter with necessary accessories such as rubber beeding automatic door closer, 2no handles, lock furniture fittings, including cost of materials and labour and power consumption charges required for fabricates including making necessary holes in RCC columns, beams,masnory with power drill to the required extent and redoing the same to the original condition after fixing etc., complete the aluminium frames are to be anodized with matt finish under electrically controlled conditions in accordance with is specification 1863/1963 for anodic film thickness of not less than 15 microns, all the materials should be got approved by the Executive Engineer concerned before use on work.
c) 1500x2100mm"
574,23.9.1,"Supplying, fabricating and fixing in position of Aluminium French Window, anodized not less than 15 microns confirming to Standard specification made with extruded  Aluminium “H” section size 38.5x33x3mm for outer frame, ""Z"" section of size 38.5x33x3mm for shutter and intermediate sections of size 59x33x3mm and aluminium clip of size 17.3x17x0.90 mm with ms powder coated stiffer of size 12mmx3mm for fixing  glass panels with necessary Aluminium furniture fittings should have ISI mark such as Aluminium handles of size 101.6x25.4x3.18mm, Aluminium I-max hinges of 10”, Aluminium window stay & Pegs of 10”, aluminium hold fast 6”(4mm thick) with suitable Aluminium/ Stainless steel screws and rubber beedings including supplying and fixing of 4mm thick pin headed Glass panels and including cost of all materials, labours, power consumption required for fabrication, drilling holes for fixing the aluminium hold fast etc., complete and make to  the wall in original shape after fixing and as directed by the departmental officers and as per drawings enclosed.The aluminium surface is to be anodized with matt finish under electrically controlled condition in accordance with ISI specifications 1868/1962 of anodic film thickness of not less than 15 microns (fifteen) for all sections etc., all complete and as directed by the departmental officers.(The quality, brand and colour should be got approved from the Executive Engineer before use). (all the materials to be used should be got approved from the Executive Engineer before use) "
575,23.9.1.a,a.1.50 x 1.65 mt.(French window)
576,23.9.1.1,"Supplying, fabricating and fixing in position of Aluminium French Window, anodized not less than 15 microns confirming to Standard specification made with extruded  Aluminium “H” section size 38.5x33x3mm for outer frame, ""Z"" section of size 38.5x33x3mm for shutter and aluminium clip with ms powder coated stiffer of size 12mmx3mm for fixing  glass panels with necessary Aluminium furniture fittings should have ISI mark such as 1 No of handles with screws,1 No of 10""  I-max hinges, 4 Nos of aluminium hold fast 6”(4mm thick) with suitable Aluminium/ Stainless steel screws and rubber beedings including supplying and fixing of 4mm thick pin headed Glass panels and including cost of all materials, labours, power consumption required for fabrication, drilling holes for fixing the aluminium hold make fast etc., complete and make to  the wall in original shape after fixing and as directed by the departmental officers and as per drawings enclosed.The aluminium surface is to be anodized with matt finish under electrically controlled condition in accordance with ISI specifications 1868/1962 of anodic film thickness of not less than 15 microns (fifteen) for all sections etc., all complete and as directed by the departmental officers. (The quality, brand and colour should be got approved from the Executive Engineer before use). (all the materials to be used should be got approved from the Executive Engineer before use)"
577,23.9.1.1.a,0.60 x 2.10m
578,23.9.2,"Supplying, fabricating and fixing in position of Aluminium Openable Window, anodized not less than 15 microns confirming to Standard specification made with extruded  Aluminium “H” section size 38.5x33x3mm for outer frame, Z section of size 38.5x33x3mm for shutter and intermediate sections of size 59x33x3mm and aluminium clip of size 17.3x17x0.90 mm for used as beeding for holding the glass panels with Aluminium furniture fittings should have ISI mark such as Aluminium handles of size 101.6x25.4x3.18mm, Aluminium I-max hinges of 10”, Aluminium window stay & Pegs of 10”, aluminium hold fast 6” (4mm thick) with suitable Aluminium/ Stainless steel screws and rubber beedings including supplying and fixing of 4mm thick pin headed Glass panels and including cost of all materials, labours, power consumption required for fabrication, drilling holes for fixing the aluminium hold fast etc., complete and make to  the wall in original shape after fixing and as directed by the departmental officers and as per drawings enclosed. The aluminium surface is to be anodized with matt finish under electrically controlled condition in accordance with ISI specifications 1868/1962 of anodic film thickness of not less than 15 microns (fifteen) for all sections etc., all 
complete and as directed by the departmental officers. (The quality, brand and colour should be got approved from the Executive Engineer before use). (all the materials to be used should be got approved from the Executive Engineer before  use)  "
579,23.9.2.a,a. 1800 x 1350 mm ( 3 bays openable)
580,23.9.2.b,b. 1500 x 1350mm ( 3 bays openable)
581,23.9.2.c,c. 1350 x 1350mm (2 bays openable)
582,23.9.2.d,d. 1200 x 1350mm (2 bays openable)
583,23.9.2.e,e. 1150 x 1350mm ( 2 bays openable)
584,23.9.2.f,f. 1100 x 1350mm ( 2 bays openable)
585,23.9.2.g,g. 1050 x 1050mm (2 bays openable)
586,23.9.2.h,h. 900 x 1050mm (2 Bays openable)
587,23.9.2.i,i. 750 x 1050mm (single openable) 
588,23.9.2.j,j. 835 x 1350mm (single openable)
589,23.9.3,"Supplying and fixing of Two Track Aluminium Sliding window with anodized not less than 15 microns confirming to Standard specification made with extruded in all floors, window outer frame, bottom section 61.85x31.75x1.20mm thickness @ 0.695 Kg/m, side & top 61.85x31.75x1.30mm thickness @ 0.659Kg/m, inter lock section 40x18x1.10mm thickness @ 0.469 Kg/m, shutter plain 40x18x1.25mm thickness @ 0.417 Kg/m, runner top & bottom 40x18x1.25mm thickness @ 0.417Kg/m, runner 40x18x1.25mm thickness @ 0.471Kg/m with 4mm Plain glass including labour charges for cutting & fixing with necessary screws, cost of conveyance, rubber beeding, locking arrangements, PVC roller wheel for top & bottom for sliding the window with nails, plug and power supply including all other necessary accesscries etc., complete The aluminium surface is to be anodized with matt finish under electrically controlled condition in accordance with ISI specifications 1868/1962 of anodic film thickness off not less than 15 microns (fifteen) for all sections etc., all complete and as directed by the departmental officers. (The quality, brand and colour should be got approved from the Executive Engineer before use). "
590,23.9.3.b,b.1500 x 1350mm 
591,23.9.4,"Supplying and fixing in position using colour anodized Aluminium sections of approved make (colour 15 micron anodizing confirming to standard specification) in fixed louver ventilator (Adjustable louver type for outer frame tow handlers) Die No 4605 weight 1.558 kg/m with heavy channel using louvers pin headed glass @ 100mm c/c with louver handle and necessary fittings of approved make required for louver ventilators and the aluminium frame should be embedded in wall and there should not be any gap between the wall and aluminium frame and including cost and conveyance of all materials and including labour charges for good work manship etc., The aluminium surface is to be anodized with matt finish under electrically controlled condition in accordance with ISI specifications 1868/1962 of anodic flim thickness off not less than 15 microns (fifteen) for all sections etc., all complete and as directed by the departmental officers. (The quality, brand and colour should be got approved from the Executive Engineer before use). "
592,23.9.4.b,b. 0.90 x 0.60m
593,23.9.4.1,"Supplying, fabricating and fixing in position of Aluminium Openable Window, anodized not less than 15 microns confirming to Standard specification made with extruded  Aluminium “H” section size 38.5x33x3mm for outer frame, Z section of size 38.5x33x3mm for shutter and intermediate sections of size 59x33x3mm and aluminium clip of size 17.3x17x0.90 mm for used as beeding for holding the glass panels with Aluminium furniture fittings should have ISI mark such as  Aluminium handles with screws, Aluminium I-max hinges of 10”,  aluminium hold fast 6”(4mm thick) with suitable Aluminium/ Stainless steel screws and rubber beedings, clip feading including supplying and fixing of 4mm thick pin headed Glass panels and including cost of all materials, labours, necessary screws, nails, plugs, power consumption required for fabrication, drilling holes for fixing the aluminium hold fast etc., complete and make to  the wall in original shape after fixing and as directed by the departmental officers and as per drawings enclosed. The aluminium surface is to be anodized with matt finish under electrically controlled condition in accordance with ISI specifications 1868/1962 of anodic film thickness of not less than 15 microns (fifteen) for all sections etc., all complete and as directed by the departmental officers. (The quality, brand and colour should  be got approved from the Executive Engineer before use). (all the materials to be used should be got approved from the Executive Engineer before use)"
594,23.9.4.1.a,a)7800x1650 mm
595,23.9.4.1.b,b) 2100x1650 mm                
596,23.9.4.1.c,C) 1800x1650 mm
597,23.9.5,"Supplying, fabricating and fixing in position of Aluminium Arch Type , anodized not less than 15 microns confirming to Standard specification made with extruded  Aluminium “H” section size 38.5x33x3mm for outer frame, Z section of size 38.5x33x3mm for shutter and intermediate sections of size 59x33x3mm and aluminium clip of size 17.3x17x0.90 mm for used as beeding for holding the glass panels with Aluminium furniture fittings should have ISI mark such as  Aluminium handles with screws, Aluminium I-max hinges of 10”,  aluminium hold fast 6”(4mm thick) with suitable Aluminium/ Stainless steel screws and rubber beedings, clip feading including supplying and fixing of 4mm thick pin headed Glass panels and including cost of all materials, labours, necessary screws, nails, plugs, power consumption required for fabrication, drilling holes for fixing the aluminium hold fast etc., complete and make to  the wall in original shape after fixing and as directed by the departmental officers and as per drawings enclosed. The aluminium surface is to be anodized with matt finish under condition electrically controlled in accordance with ISI specifications 1868/1962 of anodic film thickness of not less than 15 microns (fifteen) for all sections etc., all complete and as directed by the departmental officers. (The quality, brand and colour should be got approved from the Executive Engineer before use). (all the materials to be used  should be got approved from the Executive Engineer before use)"
598,23.9.5.a,a) 2100x1950 mm
599,23.9.5.b,b) 1800x1950mm
600,23.9.6,"Supplying, fabricating and fixing in position of Aluminium Openable Window, anodized not less than 15 microns confirming to Standard specification made with extruded  Aluminium “H” section size 38.5x33x3mm for outer frame, Z section of size 38.5x33x3mm for shutter and intermediate sections of size 59x33x3mm and aluminium clip of size 17.3x17x0.90mm for used as beeding for holding the glass panels with Aluminium furniture fittings should have ISI mark such as Aluminium handles of size 101.6x25.4x3.18mm, Aluminium I-max hinges of not less than 3mm thick ""304 grade"", Aluminium window stay & Pegs of 10”, aluminium hold fast 6”(4mm thick) with suitable Aluminium/ Stainless steel screws and rubber beedings including supplying and fixing of 4mm thick pin headed Glass panels and including cost of all materials, labours, power consumption required for fabrication, drilling holes for fixing the aluminium hold fast etc., complete and make to  the wall in original shape after fixing and as directed by the departmental officers. The aluminium surface is to be anodized with matt finish under electrically controlled condition in accordance with ISI specifications 1868/1962 of anodic film thickness of not less than 15 microns (fifteen) for all sections etc., all complete and as directed by the departmental officers. (The quality, brand and colour should be got approved from the Executive Engineer before use). (all the materials to be used should be got approved from the Executive Engineer before use)"
601,23.9.6.a,"a. 1.80 x 1.65m ( open type, three leaves)"
602,23.9.6.b,"b. 0.90 x 1.35m ( open type, two leaves)"
603,23.9.7,"Supplying and fixing in position using colour anodized Aluminium sections of approved make (colour 15 micron anodizing confirming to standard specification) in fixed louver ventilator (Adjustable louver type for outer frame tow handlers) Die No 4605 weight 1.558 kg/m with heavy channel using louvers pin headed glass @ 100mm c/c with louver handle and necessary fittings of approved make required for louver ventilators and the aluminium frame should be embedded in wall and there should not be any gap between the wall and aluminium frame and including cost and conveyance of all materials and including labour charges for good work manship etc., The aluminium surface is to be anodized with matt finish under electrically controlled condition in accordance with ISI specifications 1868/1962 of anodic flim thickness off not less than 15 microns (fifteen) for all sections etc., all complete and as directed by the departmental officers.(The quality, brand and colour should be got approved from the Executive Engineer before use). "
604,23.9.7.a,a. 0.90x0.60m 
605,24,"Manufacturing and supplying of Steel Windows confirming to IS 1038/1983 specification with steel section used for fabrication of windows as per IS7452/1982 specification and as per the approved type    design for all size applicable for the work with iron oxidised handles with locking arrangements, peg stays and including cost for one coat of red oxide primer etc., complete and as directed by the departmental officers (windows should be weighed excluding aluminium beeding and glass panel.  The standard models of window with grill design drawings are enclosed in the annexure. However the windows grill and design should be got approved by the Executive Engineer before use)."
606,24.1,"Supplying and fixing of steel ventilator with lron bars & MS flat of size 50x10mm alround and the panel shall be provided with 12 Nos. of MS square bars of size 20x20mm equally spaced and welding the same with the alround MS flat and backed with the weld mesh of size 75x25mmx10G and welded with alround MS flat including cost of hinges, welding charges ect., all complete and as directed by the departmental officers.

a. V-1285 x 600mm "
607,25,Supplying of mild steel hold fasts horizontally twisted of size 230x40x4mm with pair of suitable iron screws.Supplying of fixing of Stiffner of approved make. 
